1771296193.000,"781b48","AMU862  ",24.802231,121.560109,35025,542.6,464,0.784,-34.7
1771296198.000,"8832d0","N/A",24.928391,121.055603,,,,,-35.2
1771296198.000,"780173","CPA410  ",24.935799,121.309118,37000,554.7,484,0.824,-33.3
1771296198.000,"758773","N/A",25.208270,121.449142,8325,,,,-37.4
1771296198.000,"781b48","AMU862  ",24.814545,121.577148,35025,543.2,464,0.784,-35.4
1771296203.000,"8832d0","N/A",24.930588,121.058197,3175,,,,-35.8
1771296203.000,"780173","CPA410  ",24.941849,121.314443,37000,554.7,484,0.824,-33.6
1771296203.000,"758773","N/A",25.208270,121.449142,8325,,,,-37.4
1771296203.000,"781b48","AMU862  ",24.814545,121.577148,35025,543.2,464,0.784,-35.5
1771296208.000,"8832d0","N/A",24.932122,121.060163,3125,170.8,,,-35.3
1771296208.000,"780173","CPA410  ",24.958284,121.328966,37000,555.5,484,0.824,-33.4
1771296208.000,"758773","N/A",25.208270,121.449142,8325,,,,-37.4
1771296208.000,"781b48","AMU862  ",24.814545,121.577148,35025,543.2,464,0.784,-35.7
1771296213.000,"8832d0","N/A",24.932122,121.060163,3125,170.8,,,-35.5
1771296213.000,"780173","CPA410  ",24.968307,121.337789,37000,555.5,484,0.824,-33.8
1771296213.000,"781b48","AMU862  ",24.814545,121.577148,35025,543.2,464,0.784,-35.7
1771296218.000,"8832d0","N/A",24.932122,121.060163,3125,170.8,,,-35.7
1771296218.000,"780ec4","N/A",25.189602,121.251595,4775,266.5,,,-36.4
1771296218.000,"780173","CPA410  ",24.968307,121.337789,37000,556.1,484,0.824,-34.4
1771296218.000,"781b48","AMU862  ",24.841112,121.614040,35025,544.0,464,0.784,-36.0
1771296223.000,"8832d0","N/A",24.932122,121.060163,3125,164.0,,,-36.1
1771296223.000,"780ec4","N/A",25.189602,121.251595,4775,267.5,,,-36.6
1771296223.000,"780173","CPA410  ",24.968307,121.337789,37000,556.1,484,0.824,-34.4
1771296223.000,"781b48","AMU862  ",24.841112,121.614040,35025,544.0,464,0.784,-36.0
1771296228.000,"8832d0","N/A",24.932122,121.060163,2800,164.0,,,-36.4
1771296228.000,"780ec4","N/A",25.196411,121.242828,4750,268.1,,,-36.5
1771296228.000,"780173","CPA410  ",25.000833,121.366485,37000,556.1,484,0.824,-34.7
1771296228.000,"781b48","AMU862  ",24.841112,121.614040,35025,544.0,464,0.784,-36.3
1771296233.000,"8832d0","N/A",24.932122,121.060163,2800,164.0,,,-36.4
1771296233.000,"780ec4","N/A",25.200851,121.237183,4750,267.8,,,-36.9
1771296233.000,"780173","CPA410  ",25.000833,121.366485,37000,556.1,484,0.824,-35.2
1771296233.000,"781b48","AMU862  ",24.841112,121.614040,35025,544.0,464,0.784,-36.3
1771296238.000,"8832d0","N/A",24.944824,121.082560,2625,159.7,,0.280,-35.5
1771296238.000,"780ec4","N/A",25.202497,121.235167,4750,267.8,,,-37.0
1771296238.000,"780173","CPA410  ",25.000833,121.366485,37000,556.1,484,0.824,-35.2
1771296238.000,"781b48","AMU862  ",24.841112,121.614040,35025,544.0,464,0.784,-36.3
1771296243.000,"8832d0","N/A",24.944824,121.082560,2625,159.7,,0.276,-35.4
1771296243.000,"780ec4","N/A",25.202497,121.235167,4750,267.8,,,-37.0
1771296243.000,"780173","CPA410  ",25.000833,121.366485,37000,556.1,484,0.824,-35.5
1771296243.000,"781b48","AMU862  ",24.841112,121.614040,35025,544.0,464,0.784,-36.3
1771296248.000,"8832d0","N/A",24.949631,121.088715,2475,156.7,182,0.276,-35.7
1771296248.000,"780ec4","N/A",25.202497,121.235167,4750,267.8,,,-37.0
1771296248.000,"780173","CPA410  ",25.000833,121.366485,37000,556.1,484,0.824,-35.5
1771296248.000,"781b48","AMU862  ",24.841112,121.614040,35025,544.0,464,0.784,-36.3
1771296253.000,"8832d0","TLM394  ",24.951860,121.091671,2425,149.6,182,0.276,-33.9
1771296253.000,"780ec4","N/A",25.202497,121.235167,4750,267.8,,,-37.0
1771296253.000,"780173","CPA410  ",25.000833,121.366485,37000,556.1,484,0.824,-35.5
1771296253.000,"781b48","AMU862  ",24.841112,121.614040,35025,544.0,464,,-36.3
1771296258.000,"8832d0","TLM394  ",24.953536,121.094055,2400,146.9,182,0.264,-34.1
1771296258.000,"780ec4","N/A",25.202497,121.235167,4750,267.8,,,-37.0
1771296258.000,"780173","CPA410  ",25.000833,121.366485,37000,556.1,484,0.824,-35.5
