1771344087.000,"71c300","TWB663  ",25.222549,121.237895,10175,269.4,294,0.468,-35.6,229.21,-1408,-384,"4161","A3",2,1023.2,,,10725,1,8,3
1771344092.000,"71c300","TWB663  ",25.218697,121.232887,10075,268.8,292,0.452,-35.2,229.38,-1664,-1536,"4161","A3",2,1023.2,267,29,10625,1,8,3
1771344097.000,"71c300","TWB663  ",25.214401,121.227366,9925,268.9,292,0.452,-35.7,229.68,-1728,-1760,"4161","A3",2,1023.2,267,29,10475,1,8,3
1771344102.000,"71c300","TWB663  ",25.211243,121.223246,9825,269.7,292,0.452,-35.0,229.81,-1472,-1408,"4161","A3",2,1023.2,267,29,10375,1,8,3
1771344107.000,"71c300","TWB663  ",25.206175,121.216667,9675,268.9,292,0.452,-34.8,229.68,-1408,-1408,"4161","A3",2,1023.2,267,29,10200,1,8,3
1771344112.000,"71c300","TWB663  ",25.202179,121.211599,9550,268.1,290,0.452,-34.3,229.54,-1408,-1408,"4161","A3",2,1023.2,268,26,10050,1,8,3
1771344117.000,"71c300","TWB663  ",25.198168,121.206354,9425,268.1,290,0.448,-35.1,229.54,-1472,-1440,"4161","A3",2,1023.2,266,27,9950,1,8,3
1771344122.000,"71c300","TWB663  ",25.194118,121.201172,9325,267.4,290,0.448,-34.0,229.40,-1408,-1408,"4161","A3",2,1023.2,264,27,9825,1,8,3
1771344127.000,"71c300","TWB663  ",25.190231,121.196238,9200,266.6,288,0.448,-33.9,229.26,-1408,-1408,"4161","A3",2,1023.2,264,27,9700,1,8,3
1771344132.000,"71c300","TWB663  ",25.186437,121.191429,9100,266.6,288,0.448,-34.9,229.26,-1600,-1472,"4161","A3",2,1023.2,265,26,9600,1,8,3
1771344137.000,"71c300","TWB663  ",25.182404,121.186269,8950,266.6,288,0.448,-35.0,229.26,-1600,-1472,"4161","A3",2,1023.2,265,26,9450,1,8,3
1771344142.000,"71c300","TWB663  ",25.179016,121.181946,8850,266.0,288,0.448,-35.2,229.42,-1536,-1472,"4161","A3",2,1023.2,265,26,9350,1,8,3
1771344147.000,"71c300","TWB663  ",25.174622,121.176249,8700,266.0,288,0.448,-36.0,229.42,-1408,-1472,"4161","A3",2,1023.2,265,26,9200,1,8,3
1771344152.000,"71c300","TWB663  ",25.170731,121.171366,8600,265.2,288,0.448,-35.4,229.28,-1472,-1472,"4161","A3",2,1023.2,,,9100,1,8,3
1771344157.000,"71c300","TWB663  ",25.166466,121.165933,8450,265.1,288,0.440,-35.4,228.98,-1536,-1536,"4161","A3",2,1023.2,,,8925,1,8,3
1771344162.000,"71c300","TWB663  ",25.161575,121.159770,8300,264.3,284,0.440,-33.8,228.83,-1664,-1632,"4161","A3",2,1023.2,260,23,8800,1,8,3
1771344167.000,"71c300","TWB663  ",25.157528,121.154687,8175,265.1,284,0.436,-33.5,228.98,-1216,-1280,"4161","A3",2,1023.2,258,21,8650,1,8,3
1771344172.000,"71c300","TWB663  ",25.154297,121.150614,8100,262.9,284,0.436,-34.6,228.86,-1088,-1056,"4161","A3",2,1023.2,258,21,8575,1,8,3
1771344177.000,"71c300","TWB663  ",25.150219,121.145463,8000,262.2,282,0.432,-33.3,228.71,-1536,-1280,"4161","A3",2,1023.2,257,21,8475,1,8,3
1771344182.000,"71c300","TWB663  ",25.145370,121.139425,7825,262.8,282,0.432,-34.9,228.55,-1728,-1632,"4161","A3",2,1023.2,257,22,8300,1,8,3
1771344182.000,"71c056","TWB639  ",25.086116,121.404419,32000,371.8,464,,-35.4,229.80,0,,"7115","A3",2,1013.6,,,33550,1,8,3
