1771344062.000,71c300,TWB663  ,25.243698,121.264801,10475,11000,286.4,,312,0.480,228.96,,,,,-512,-480,,,,1023.2,,,4161,-34.7,,,1,8,,3,,,A3,,2
1771344067.000,71c300,TWB663  ,25.239120,121.259003,10425,10975,281.5,,312,0.472,229.18,,,,,-448,-448,,,,1023.2,,,4161,-35.2,,,1,8,,3,,,A3,,2
1771344072.000,71c300,TWB663  ,25.234680,121.253306,10400,10925,276.5,,304,0.472,229.11,,,,,-448,-448,,,,1023.2,,,4161,-34.1,,,1,8,,3,,,A3,,2
1771344077.000,71c300,TWB663  ,25.232337,121.250351,10375,10900,273.7,,304,0.468,229.15,,,,,-576,-384,,,,1023.2,,,4161,-35.1,,,1,8,,3,,,A3,,2
1771344082.000,71c300,TWB663  ,25.226669,121.243083,10300,10850,272.3,,298,0.468,229.17,,,,,-768,-384,,,,1023.2,,,4161,-35.9,,,1,8,,3,,,A3,,2
1771344087.000,71c300,TWB663  ,25.222549,121.237895,10175,10725,269.4,,294,0.468,229.21,,,,,-1408,-384,,,,1023.2,,,4161,-35.6,,,1,8,,3,,,A3,,2
1771344092.000,71c300,TWB663  ,25.218697,121.232887,10075,10625,268.8,,292,0.452,229.38,,,,,-1664,-1536,,267,29,1023.2,,,4161,-35.2,,,1,8,,3,,,A3,,2
1771344097.000,71c300,TWB663  ,25.214401,121.227366,9925,10475,268.9,,292,0.452,229.68,,,,,-1728,-1760,,267,29,1023.2,,,4161,-35.7,,,1,8,,3,,,A3,,2
1771344102.000,71c300,TWB663  ,25.211243,121.223246,9825,10375,269.7,,292,0.452,229.81,,,,,-1472,-1408,,267,29,1023.2,,,4161,-35.0,,,1,8,,3,,,A3,,2
1771344107.000,71c300,TWB663  ,25.206175,121.216667,9675,10200,268.9,,292,0.452,229.68,,,,,-1408,-1408,,267,29,1023.2,,,4161,-34.8,,,1,8,,3,,,A3,,2
1771344112.000,71c300,TWB663  ,25.202179,121.211599,9550,10050,268.1,,290,0.452,229.54,,,,,-1408,-1408,,268,26,1023.2,,,4161,-34.3,,,1,8,,3,,,A3,,2
1771344117.000,71c300,TWB663  ,25.198168,121.206354,9425,9950,268.1,,290,0.448,229.54,,,,,-1472,-1440,,266,27,1023.2,,,4161,-35.1,,,1,8,,3,,,A3,,2
1771344122.000,71c300,TWB663  ,25.194118,121.201172,9325,9825,267.4,,290,0.448,229.40,,,,,-1408,-1408,,264,27,1023.2,,,4161,-34.0,,,1,8,,3,,,A3,,2
1771344127.000,71c300,TWB663  ,25.190231,121.196238,9200,9700,266.6,,288,0.448,229.26,,,,,-1408,-1408,,264,27,1023.2,,,4161,-33.9,,,1,8,,3,,,A3,,2
