1771689601.000,"71c542","ESR8813 ",25.099384,121.078612,6575,6825,219.5,229,258,0.388,227.95,-0.03,-0.18,230.98,225.99,-704,-832,,200,25,1012.0,2496,,"4120",-37.7,953,186,1,10,2,3,2,2,"A3",,2
1771689601.000,"71c588","ESR9831 ",24.995041,121.139832,2075,2200,188.4,,,,48.44,,,,,-1024,,,,,1012.0,3008,,"7154",-36.5,2241,186,1,9,1,3,2,2,"A3",,2
1771689601.000,"71c030","N/A",25.348480,121.382141,9825,10200,277.0,246,,0.444,228.37,,,234.32,230.44,-448,-512,,,,1012.0,7008,,,-37.8,37,186,1,8,1,2,,,,,0
1771689606.000,"71c542","ESR8813 ",25.099384,121.078612,6575,6825,219.5,229,258,0.388,227.95,-0.03,-0.18,230.98,225.99,-704,-832,,200,25,1012.0,2496,,"4120",-37.6,955,186,1,10,2,3,2,2,"A3",,2
1771689606.000,"71c588","ESR9831 ",24.995041,121.139832,2075,2200,188.4,,,,48.44,,,,,-1024,,,,,1012.0,3008,,"7154",-36.5,2241,186,1,9,1,3,,,"A3",,2
1771689606.000,"71c030","N/A",25.348480,121.382141,9825,10200,277.0,246,,0.444,228.37,,,234.32,230.44,-448,-512,,,,1012.0,7008,,,-37.7,41,186,1,8,1,2,,,,,0
1771689611.000,"71c542","ESR8813 ",25.099384,121.078612,6125,6375,219.5,229,258,0.388,227.95,-0.03,-0.18,230.98,225.99,-704,-832,,,,1012.0,2496,,"4120",-37.3,960,186,1,10,2,3,2,2,"A3",,2
1771689611.000,"71c588","ESR9831 ",24.995041,121.139832,2075,2200,188.4,,,,48.44,,,,,-1024,,,,,1012.0,3008,,"7154",-36.5,2241,186,1,9,1,3,,,"A3",,2
1771689611.000,"71c030","N/A",25.348480,121.382141,9825,10200,277.0,246,,0.444,228.37,,,234.32,230.44,-448,-512,,,,1012.0,7008,,,-37.9,44,186,1,8,1,3,,,,,0
1771689616.000,"71c542","ESR8813 ",25.099384,121.078612,6125,6375,219.5,229,258,0.388,227.95,-0.03,-0.18,230.98,225.99,-704,-832,,,,1012.0,2496,,"4120",-38.1,965,186,1,10,2,3,2,2,"A3",,2
1771689616.000,"71c588","ESR9831 ",24.995041,121.139832,2075,2200,,,,,,,,,,,,,,,,,,,-36.5,2241,186,,,,,,,"A3",,2
1771689616.000,"71c030","N/A",25.348480,121.382141,9825,10200,277.0,246,,0.444,228.37,,,234.32,230.44,-448,-512,,,,1012.0,7008,,,-37.8,50,186,1,8,1,3,,,,,0
1771689621.000,"71c542","ESR8813 ",25.099384,121.078612,5975,6225,219.5,229,258,0.388,227.95,-0.03,-0.18,230.98,225.99,-704,-832,,,,1012.0,2496,,"4120",-38.3,968,186,1,10,2,3,2,2,"A3",,2
1771689621.000,"71c030","N/A",25.348480,121.382141,9825,10200,277.0,246,,0.444,228.37,,,234.32,230.44,-448,-512,,,,1012.0,7008,,,-37.8,52,186,1,8,1,3,,,,,0
1771689626.000,"71c542","ESR8813 ",25.099384,121.078612,5975,6225,219.5,229,258,0.388,227.95,-0.03,-0.18,230.98,225.99,-704,-832,,,,1012.0,2496,,"4120",-38.3,968,186,1,10,2,3,2,2,"A3",,2
1771689626.000,"71c030","N/A",25.348480,121.382141,,10200,277.0,251,,0.452,228.37,,,233.44,228.36,-480,-480,,,,1012.0,7008,,,-37.8,53,186,1,8,1,3,,,,,0
1771689631.000,"71c542","ESR8813 ",25.099384,121.078612,5975,6225,219.5,229,258,0.388,227.95,-0.03,-0.18,230.98,225.99,-704,-832,,,,1012.0,2496,,"4120",-38.3,968,186,1,10,2,3,2,2,"A3",,2
1771689631.000,"71c030","N/A",25.348480,121.382141,,10200,277.0,251,,0.452,228.37,,,233.44,228.36,-480,-480,,,,1012.0,7008,,,-37.9,54,186,1,8,1,3,,,,,0
1771689636.000,"71c542","ESR8813 ",25.099384,121.078612,5975,6225,219.5,229,,0.388,227.95,,,230.98,225.99,-704,-832,,,,1012.0,2496,,"4120",-38.3,968,186,1,10,2,3,2,2,"A3",,2
1771689636.000,"71c030","N/A",25.348480,121.382141,,10200,277.0,251,,0.452,228.37,,,233.44,228.36,-480,-480,,,,1012.0,7008,,,-38.1,58,186,1,8,1,3,,,,,0
